Years,State,CO2_Emissions_commercial,CO2_Emissions_electricity,CO2_Emissions_industrial,CO2_Emissions_residential,CO2_Emissions_transportation,Year_x,Real GDP,Unit,State_Code_x,Year_y,Personal Income (millions),Population,Per capita income (dollars),State_Code_y,State_Code,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,ROPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WYTCB
2010,Illinois,11.5,94.0,35.3,23.6,65.5,2010,694961.1,Millions of chained 2012 dollars,IL,2010,540492.6,12840762.0,42092.0,IL,IL,767419.0,22.932,33465.0,5.8,178188.0,30940.0,1965.0,1157.0,2191.0,1.287,1702.0,1005374.0,52589.0,9067.0,266552.0,88363.0,1286.0,2094124.0,3955815.0,0.0,20368.0,20368.0,20139.0,43450.0
2011,Illinois,12.4,91.2,36.6,23.6,65.0,2011,707059.5,Millions of chained 2012 dollars,IL,2011,567967.5,12867291.0,44140.0,IL,IL,864228.0,22.78,37938.0,5.8,172637.0,30068.0,1905.0,1365.0,3600.0,1.6969999999999998,2121.0,1002694.0,53116.0,9158.0,267046.0,94409.0,1322.0,2190684.0,3938310.0,0.0,17737.0,17737.0,11713.0,60367.0
2012,Illinois,10.9,85.3,36.7,20.3,62.9,2012,720702.3,Millions of chained 2012 dollars,IL,2012,593239.1,12884119.0,46044.0,IL,IL,1094204.0,22.439,48763.0,5.8,173632.0,30346.0,2042.0,1058.0,2148.0,1.011,2125.0,1010189.0,56451.0,9733.0,278334.0,104702.0,1565.0,2441327.0,3818052.0,0.0,15093.0,15093.0,11416.0,73528.0
2013,Illinois,13.5,89.0,37.6,25.8,63.7,2013,724616.4,Millions of chained 2012 dollars,IL,2013,607670.8,12898269.0,47113.0,IL,IL,1149607.0,22.0,52256.0,5.8,168895.0,29613.0,2042.0,1148.0,2933.0,1.016,2887.0,1014926.0,55326.0,9539.0,296306.0,127411.0,1797.0,2519098.0,3974919.0,0.0,19065.0,19065.0,11526.0,91834.0
2014,Illinois,14.3,87.9,38.1,27.1,65.1,2014,735035.6,Millions of chained 2012 dollars,IL,2014,637279.3,12888962.0,49444.0,IL,IL,1293541.0,22.293000000000003,58025.0,5.8,174983.0,30770.0,2042.0,1258.0,2044.0,1.06,1929.0,1023496.0,55367.0,9546.0,307336.0,132353.0,1892.0,2681784.0,4045608.0,0.0,19482.0,19482.0,11791.0,95888.0
2015,Illinois,13.4,76.4,34.3,22.9,67.9,2015,744517.8,Millions of chained 2012 dollars,IL,2015,662760.8,12864342.0,51519.0,IL,IL,1252879.0,22.281999999999996,56227.0,5.7170000000000005,201470.0,35550.0,2042.0,1160.0,2210.0,1.062,2080.0,1017377.0,54426.0,9520.0,326171.0,124702.0,1936.0,2653062.0,3892959.0,0.0,8185.0,8185.0,11225.0,100154.0
2016,Illinois,13.3,66.4,33.9,22.1,68.3,2016,747168.0,Millions of chained 2012 dollars,IL,2016,670504.2,12826895.0,52273.0,IL,IL,977131.0,22.424,43575.0,5.722,217979.0,38604.0,2042.0,1226.0,2317.0,1.061,2183.0,1031331.0,49432.0,8639.0,340351.0,122371.0,2029.0,2400561.0,3896291.0,0.0,7634.0,7634.0,10995.0,98445.0
2000,Indiana,6.2,120.6,52.7,10.5,46.2,2000,263693.4,Millions of chained 2012 dollars,IN,2000,171989.7,6091866.0,28233.0,IN,IN,621169.0,22.212,27965.0,5.8,9000.0,1491.0,1029.0,6001.0,921.0,1.025,899.0,0.0,12168.0,2098.0,44023.0,35023.0,33.0,678282.0,2866319.0,0.0,9840.0,9840.0,18121.0,0.0
2001,Indiana,5.6,115.6,53.2,9.3,42.3,2001,258661.2,Millions of chained 2012 dollars,IN,2001,175850.8,6127760.0,28697.0,IN,IN,813161.0,22.134,36738.0,5.8,9816.0,1628.0,1120.0,5897.0,1090.0,1.024,1064.0,0.0,11728.0,2022.0,49614.0,39798.0,35.0,875593.0,2770152.0,0.0,13302.0,13302.0,19445.0,0.0
2002,Indiana,5.8,114.8,52.9,10.1,45.6,2002,265106.0,Millions of chained 2012 dollars,IN,2002,178418.2,6155967.0,28983.0,IN,IN,789153.0,22.221999999999998,35513.0,5.8,13305.0,2210.0,1221.0,4184.0,1319.0,1.008,1309.0,0.0,11380.0,1962.0,52532.0,39228.0,38.0,854384.0,2855195.0,0.0,12007.0,12007.0,21777.0,0.0
2003,Indiana,6.7,116.6,53.6,11.0,47.1,2003,275194.4,Millions of chained 2012 dollars,IN,2003,182652.3,6196638.0,29476.0,IN,IN,792236.0,22.309,35512.0,5.8,15519.0,2593.0,1605.0,4293.0,1591.0,1.087,1464.0,0.0,10817.0,1865.0,55292.0,39773.0,37.0,859937.0,2936543.0,0.0,12548.0,12548.0,21290.0,0.0
2004,Indiana,6.4,119.2,54.6,9.6,44.8,2004,284656.3,Millions of chained 2012 dollars,IN,2004,191298.3,6233007.0,30691.0,IN,IN,786209.0,22.331999999999997,35206.0,5.8,14017.0,2357.0,1759.0,4444.0,3432.0,1.0090000000000001,3401.0,0.0,10179.0,1755.0,54883.0,40866.0,63.0,854703.0,2928999.0,0.0,12875.0,12875.0,21724.0,0.0
2005,Indiana,5.4,122.2,51.4,9.4,45.0,2005,285491.9,Millions of chained 2012 dollars,IN,2005,197696.8,6278616.0,31487.0,IN,IN,768995.0,22.318,34457.0,5.8,13393.0,2266.0,2024.0,4382.0,3191.0,1.018,3135.0,0.0,10017.0,1727.0,58589.0,45196.0,78.0,840792.0,2954463.0,0.0,17344.0,17344.0,21367.0,0.0
2006,Indiana,4.7,122.2,50.6,8.0,46.0,2006,291269.1,Millions of chained 2012 dollars,IN,2006,209427.5,6332669.0,33071.0,IN,IN,783367.0,22.305999999999997,35119.0,5.8,13429.0,2286.0,2306.0,4855.0,2971.0,1.0170000000000001,2921.0,0.0,10283.0,1773.0,48934.0,35505.0,91.0,845555.0,2891926.0,0.0,15277.0,15277.0,12975.0,0.0
2007,Indiana,5.1,122.2,50.2,9.0,44.8,2007,299422.9,Millions of chained 2012 dollars,IN,2007,216814.3,6379599.0,33986.0,IN,IN,783017.0,22.37,35003.0,5.8,37006.0,6337.0,2718.0,4447.0,3685.0,1.022,3606.0,0.0,10017.0,1727.0,71571.0,34565.0,100.0,868290.0,2956935.0,0.0,16660.0,16660.0,10640.0,0.0
2008,Indiana,6.1,122.5,47.0,9.7,41.4,2008,298263.8,Millions of chained 2012 dollars,IN,2008,226332.7,6424806.0,35228.0,IN,IN,803043.0,22.281999999999996,36040.0,5.8,80361.0,13847.0,3180.0,4304.0,4762.0,1.013,4701.0,0.0,10782.0,1859.0,123765.0,43404.0,102.0,942352.0,2916022.0,0.0,18171.0,18171.0,15298.0,2349.0
2009,Indiana,5.8,109.1,40.3,8.9,39.9,2009,277473.9,Millions of chained 2012 dollars,IN,2009,220274.8,6459325.0,34102.0,IN,IN,800172.0,22.32,35850.0,5.8,96528.0,16723.0,3912.0,4914.0,5001.0,1.015,4927.0,0.0,10457.0,1803.0,150685.0,54158.0,128.0,966316.0,2712732.0,0.0,15637.0,15637.0,15872.0,13695.0
2010,Indiana,5.4,114.3,46.1,8.6,41.9,2010,295133.2,Millions of chained 2012 dollars,IN,2010,230109.2,6490436.0,35454.0,IN,IN,790889.0,22.394000000000002,35317.0,5.8,111055.0,19283.0,4408.0,4426.0,6884.0,1.012,6802.0,0.0,10643.0,1835.0,182590.0,71535.0,134.0,991005.0,2866383.0,0.0,17768.0,17768.0,16174.0,28625.0
2011,Indiana,5.3,108.6,44.9,8.2,41.9,2011,296472.0,Millions of chained 2012 dollars,IN,2011,245346.4,6516045.0,37653.0,IN,IN,840986.0,22.4,37544.0,5.8,129454.0,22547.0,4499.0,3972.0,9184.0,1.012,9075.0,0.0,11525.0,1987.0,203475.0,74021.0,168.0,1065169.0,2849969.0,0.0,17774.0,17774.0,15687.0,31921.0
2012,Indiana,4.6,98.8,43.2,7.0,40.8,2012,297552.7,Millions of chained 2012 dollars,IN,2012,257149.5,6537640.0,39334.0,IN,IN,826842.0,22.517,36720.0,5.8,126878.0,22174.0,4647.0,4125.0,8920.0,1.012,8814.0,0.0,13630.0,2350.0,196823.0,69945.0,185.0,1046215.0,2770593.0,0.0,15500.0,15500.0,14941.0,30547.0
2013,Indiana,5.4,98.4,44.9,8.7,42.6,2013,303919.5,Millions of chained 2012 dollars,IN,2013,260424.7,6568367.0,39648.0,IN,IN,883260.0,22.589000000000002,39102.0,5.8,126081.0,22106.0,4647.0,3692.0,8057.0,1.015,7938.0,0.0,13914.0,2399.0,202498.0,76417.0,488.0,1107729.0,2895980.0,0.0,18938.0,18938.0,15439.0,33213.0
2014,Indiana,5.9,103.3,43.4,9.4,43.3,2014,313740.5,Millions of chained 2012 dollars,IN,2014,270986.1,6593533.0,41099.0,IN,IN,886370.0,22.573,39267.0,5.8,139104.0,24461.0,4647.0,3530.0,6742.0,1.0190000000000001,6616.0,0.0,14541.0,2507.0,216537.0,77433.0,1205.0,1124189.0,2933541.0,0.0,19375.0,19375.0,15430.0,33247.0
2015,Indiana,5.4,87.3,41.9,8.0,43.4,2015,311600.7,Millions of chained 2012 dollars,IN,2015,281691.6,6608296.0,42627.0,IN,IN,776493.0,22.641,34295.0,5.7170000000000005,153912.0,27158.0,4647.0,3553.0,7446.0,1.0270000000000001,7250.0,0.0,12686.0,2219.0,240501.0,86589.0,1713.0,1037125.0,2850415.0,0.0,18061.0,18061.0,16538.0,42077.0
2016,Indiana,5.2,83.7,42.0,7.6,43.4,2016,316635.9,Millions of chained 2012 dollars,IN,2016,290147.8,6633344.0,43741.0,IN,IN,654493.0,22.752,28767.0,5.722,159980.0,28333.0,4647.0,3935.0,6441.0,1.038,6205.0,0.0,10397.0,1817.0,250599.0,90619.0,2391.0,921929.0,2797737.0,0.0,18037.0,18037.0,16378.0,45232.0
2000,Iowa,3.2,36.0,14.9,5.0,18.6,2000,122158.8,Millions of chained 2012 dollars,IA,2000,80442.4,2929067.0,27463.0,IA,IA,0.0,0.0,0.0,0.0,63232.0,10476.0,315.0,9222.0,0.0,0.0,0.0,46439.0,0.0,0.0,109372.0,46140.0,8.0,155811.0,1189785.0,0.0,7295.0,7295.0,24263.0,5037.0
2001,Iowa,3.2,36.1,14.5,4.4,18.5,2001,120668.6,Millions of chained 2012 dollars,IA,2001,82725.1,2931997.0,28215.0,IA,IA,0.0,0.0,0.0,0.0,63150.0,10476.0,338.0,8733.0,0.0,0.0,0.0,40234.0,0.0,0.0,104929.0,41779.0,7.0,145163.0,1161757.0,0.0,6731.0,6731.0,20929.0,5041.0
2002,Iowa,3.3,35.8,14.4,4.7,19.1,2002,124096.7,Millions of chained 2012 dollars,IA,2002,84646.8,2934234.0,28848.0,IA,IA,0.0,0.0,0.0,0.0,63068.0,10476.0,369.0,9628.0,0.0,0.0,0.0,47761.0,0.0,0.0,113207.0,50139.0,6.0,160968.0,1190895.0,0.0,6288.0,6288.0,24501.0,9347.0
2003,Iowa,3.4,35.9,13.3,4.8,19.3,2003,129316.4,Millions of chained 2012 dollars,IA,2003,86452.0,2941999.0,29385.0,IA,IA,0.0,0.0,0.0,0.0,85199.0,14238.0,497.0,7985.0,0.0,0.0,0.0,41559.0,0.0,0.0,134131.0,48932.0,5.0,175690.0,1186360.0,0.0,6586.0,6586.0,23917.0,9942.0
2004,Iowa,3.1,36.4,14.8,4.4,20.3,2004,139748.6,Millions of chained 2012 dollars,IA,2004,93511.3,2953635.0,31660.0,IA,IA,0.0,0.0,0.0,0.0,121643.0,20452.0,555.0,9475.0,0.0,0.0,0.0,51399.0,0.0,0.0,172760.0,51118.0,4.0,224160.0,1241103.0,0.0,6732.0,6732.0,23835.0,10516.0
2005,Iowa,3.1,35.5,14.6,4.3,21.0,2005,143876.3,Millions of chained 2012 dollars,IA,2005,96563.6,2964454.0,32574.0,IA,IA,0.0,0.0,0.0,0.0,154821.0,26190.0,647.0,9594.0,0.0,0.0,0.0,47362.0,0.0,0.0,212562.0,57741.0,8.0,259924.0,1273526.0,0.0,5718.0,5718.0,25303.0,16470.0
2006,Iowa,3.5,35.8,15.1,4.0,21.6,2006,145887.2,Millions of chained 2012 dollars,IA,2006,102580.1,2982644.0,34392.0,IA,IA,0.0,0.0,0.0,0.0,209825.0,35714.0,708.0,9020.0,0.0,0.0,0.0,53171.0,0.0,0.0,263421.0,53596.0,14.0,316592.0,1301152.0,0.0,5158.0,5158.0,15705.0,22990.0
2007,Iowa,3.7,39.0,16.2,4.4,21.9,2007,152251.2,Millions of chained 2012 dollars,IA,2007,109889.6,2999212.0,36640.0,IA,IA,0.0,0.0,0.0,0.0,271830.0,46548.0,785.0,9512.0,0.0,0.0,0.0,47398.0,0.0,0.0,332867.0,61037.0,17.0,380265.0,1377763.0,0.0,5627.0,5627.0,17850.0,27247.0
2008,Iowa,4.1,40.8,17.9,5.1,21.1,2008,149131.9,Millions of chained 2012 dollars,IA,2008,116255.8,3016734.0,38537.0,IA,IA,0.0,0.0,0.0,0.0,325713.0,56123.0,874.0,8071.0,0.0,0.0,0.0,55210.0,0.0,0.0,398848.0,73135.0,19.0,454058.0,1441115.0,0.0,6141.0,6141.0,17788.0,40242.0
2009,Iowa,4.3,37.0,17.3,4.7,20.6,2009,145618.3,Millions of chained 2012 dollars,IA,2009,112628.0,3032870.0,37136.0,IA,IA,0.0,0.0,0.0,0.0,427139.0,74000.0,1037.0,9479.0,0.0,0.0,0.0,48937.0,0.0,0.0,536832.0,109693.0,32.0,585769.0,1448322.0,0.0,6907.0,6907.0,19814.0,72424.0
2010,Iowa,4.1,40.6,18.6,4.4,20.6,2010,149535.6,Millions of chained 2012 dollars,IA,2010,116247.4,3050767.0,38104.0,IA,IA,0.0,0.0,0.0,0.0,499800.0,86783.0,1170.0,9250.0,0.0,0.0,0.0,46518.0,0.0,0.0,628026.0,128226.0,33.0,674544.0,1501429.0,0.0,7710.0,7710.0,20596.0,89466.0
2011,Iowa,4.2,37.2,18.9,4.4,20.8,2011,151247.9,Millions of chained 2012 dollars,IA,2011,125560.5,3066054.0,40952.0,IA,IA,0.0,0.0,0.0,0.0,501316.0,87314.0,1359.0,8991.0,0.0,0.0,0.0,54572.0,0.0,0.0,635532.0,134216.0,34.0,690105.0,1500298.0,0.0,7007.0,7007.0,12776.0,104050.0
2012,Iowa,3.8,34.3,17.7,3.6,19.9,2012,157250.8,Millions of chained 2012 dollars,IA,2012,131984.2,3076097.0,42906.0,IA,IA,0.0,0.0,0.0,0.0,473225.0,82706.0,1281.0,7291.0,0.0,0.0,0.0,45552.0,0.0,0.0,632998.0,159773.0,48.0,678550.0,1430775.0,0.0,5969.0,5969.0,11650.0,133533.0
2013,Iowa,4.6,32.1,19.2,4.7,20.3,2013,156636.6,Millions of chained 2012 dollars,IA,2013,134463.5,3093078.0,43472.0,IA,IA,0.0,0.0,0.0,0.0,498288.0,87367.0,1281.0,7147.0,0.0,0.0,0.0,55597.0,0.0,0.0,674967.0,176679.0,87.0,730564.0,1521430.0,0.0,7538.0,7538.0,12087.0,148538.0
2014,Iowa,4.6,32.5,18.9,5.0,20.9,2014,165088.1,Millions of chained 2012 dollars,IA,2014,139303.4,3109504.0,44799.0,IA,IA,0.0,0.0,0.0,0.0,523569.0,92067.0,1281.0,8356.0,0.0,0.0,0.0,43431.0,0.0,0.0,711529.0,187961.0,268.0,754960.0,1544275.0,0.0,8200.0,8200.0,14778.0,155077.0
2015,Iowa,4.3,28.4,18.8,4.1,20.2,2015,169375.0,Millions of chained 2012 dollars,IA,2015,144287.8,3121460.0,46224.0,IA,IA,0.0,0.0,0.0,0.0,517581.0,91328.0,1281.0,8948.0,0.0,0.0,0.0,54836.0,0.0,0.0,716209.0,198628.0,419.0,771045.0,1496879.0,0.0,6967.0,6967.0,14458.0,166555.0
2016,Iowa,3.5,24.7,19.5,4.1,21.4,2016,168876.4,Millions of chained 2012 dollars,IA,2016,145411.3,3131785.0,46431.0,IA,IA,0.0,0.0,0.0,0.0,539311.0,95513.0,1281.0,8464.0,0.0,0.0,0.0,49185.0,0.0,0.0,755504.0,216193.0,587.0,804689.0,1526700.0,0.0,6139.0,6139.0,14417.0,185305.0
2000,Kansas,2.5,36.1,14.0,4.4,18.6,2000,113971.7,Millions of chained 2012 dollars,KS,2000,76079.4,2693681.0,28244.0,KS,KS,4316.0,21.473000000000003,201.0,5.8,3842.0,636.0,253.0,156.0,595401.0,1.133,525729.0,94495.0,199885.0,34463.0,11914.0,8072.0,29.0,906013.0,1097996.0,0.0,5516.0,5516.0,2118.0,0.0
2001,Kansas,2.4,34.9,12.5,4.2,17.4,2001,113853.3,Millions of chained 2012 dollars,KS,2001,78574.4,2702162.0,29078.0,KS,KS,3697.0,21.006,176.0,5.8,4135.0,686.0,277.0,264.0,544550.0,1.1340000000000001,480145.0,108050.0,196864.0,33942.0,13084.0,8950.0,25.0,866244.0,1047404.0,0.0,5875.0,5875.0,2096.0,412.0
2002,Kansas,2.4,38.2,13.7,4.4,17.7,2002,115552.1,Millions of chained 2012 dollars,KS,2002,79239.8,2713535.0,29202.0,KS,KS,4351.0,21.226,205.0,5.8,8877.0,1475.0,302.0,130.0,522294.0,1.148,454901.0,94413.0,193604.0,33380.0,22196.0,13319.0,22.0,836858.0,1083100.0,0.0,5709.0,5709.0,2409.0,4748.0
2003,Kansas,2.4,38.0,14.0,4.4,19.5,2003,117477.8,Millions of chained 2012 dollars,KS,2003,81485.8,2723004.0,29925.0,KS,KS,3307.0,21.476,154.0,5.8,13933.0,2328.0,411.0,126.0,479745.0,1.145,418893.0,92648.0,197043.0,33973.0,26498.0,12565.0,18.0,799242.0,1123206.0,0.0,5984.0,5984.0,2321.0,3705.0
2004,Kansas,2.3,37.3,12.8,4.1,18.9,2004,117882.5,Millions of chained 2012 dollars,KS,2004,83847.1,2734373.0,30664.0,KS,KS,1665.0,23.456999999999997,71.0,5.8,15734.0,2646.0,462.0,126.0,456781.0,1.15,397121.0,105664.0,196498.0,33879.0,28341.0,12606.0,15.0,788950.0,1103952.0,0.0,6114.0,6114.0,2298.0,3592.0
2005,Kansas,1.8,37.1,11.0,4.0,17.7,2005,122257.8,Millions of chained 2012 dollars,KS,2005,88707.3,2745299.0,32312.0,KS,KS,3955.0,23.127,171.0,5.8,18579.0,3143.0,541.0,113.0,432051.0,1.145,377229.0,92055.0,194996.0,33620.0,31101.0,12522.0,17.0,754158.0,1049477.0,0.0,5161.0,5161.0,2432.0,4258.0
2006,Kansas,1.7,35.1,12.8,3.5,18.8,2006,128899.2,Millions of chained 2012 dollars,KS,2006,97937.9,2762931.0,35447.0,KS,KS,9591.0,22.515,426.0,5.8,24466.0,4164.0,583.0,96.0,424422.0,1.1440000000000001,371044.0,97570.0,206874.0,35668.0,39697.0,15231.0,21.0,778155.0,1077557.0,0.0,4528.0,4528.0,164.0,9839.0
2007,Kansas,1.9,38.5,16.2,3.9,19.2,2007,135667.2,Millions of chained 2012 dollars,KS,2007,105257.1,2783785.0,37811.0,KS,KS,9313.0,22.174,420.0,5.8,32296.0,5530.0,630.0,104.0,414251.0,1.1320000000000001,365877.0,108762.0,212222.0,36590.0,49581.0,17286.0,24.0,794130.0,1156711.0,0.0,4950.0,4950.0,186.0,11392.0
2008,Kansas,2.1,36.4,12.6,4.5,18.7,2008,138657.9,Millions of chained 2012 dollars,KS,2008,114543.3,2808076.0,40791.0,KS,KS,5139.0,22.441999999999997,229.0,5.8,61362.0,10573.0,689.0,104.0,427313.0,1.1420000000000001,374310.0,88812.0,230045.0,39663.0,85129.0,23767.0,23.0,836439.0,1113937.0,0.0,5430.0,5430.0,184.0,17337.0
2009,Kansas,2.0,35.3,11.3,4.5,19.3,2009,133276.7,Millions of chained 2012 dollars,KS,2009,110724.2,2832704.0,39088.0,KS,KS,4296.0,23.224,185.0,5.8,56456.0,9781.0,803.0,125.0,399685.0,1.128,354440.0,91710.0,228903.0,39466.0,91075.0,34618.0,24.0,815669.0,1088191.0,0.0,5517.0,5517.0,203.0,27945.0
2010,Kansas,2.0,35.4,11.6,4.2,19.1,2010,134944.6,Millions of chained 2012 dollars,KS,2010,113077.3,2858213.0,39562.0,KS,KS,3069.0,23.076,133.0,5.8,62472.0,10847.0,906.0,129.0,370711.0,1.1420000000000001,324720.0,99876.0,234714.0,40468.0,103639.0,41167.0,28.0,812010.0,1116268.0,0.0,6093.0,6093.0,791.0,33220.0
2011,Kansas,1.9,34.2,11.6,4.1,18.6,2011,138562.6,Millions of chained 2012 dollars,KS,2011,122562.0,2869035.0,42719.0,KS,KS,840.0,22.706,37.0,5.8,61298.0,10676.0,1005.0,143.0,355019.0,1.148,309124.0,76585.0,240741.0,41507.0,107388.0,46090.0,29.0,780572.0,1103566.0,0.0,5392.0,5392.0,3377.0,36143.0
2012,Kansas,1.6,30.7,11.8,3.2,18.4,2012,140477.8,Millions of chained 2012 dollars,KS,2012,130182.0,2885361.0,45118.0,KS,KS,388.0,24.43,16.0,5.8,57973.0,10132.0,974.0,99.0,334965.0,1.13,296300.0,86818.0,253709.0,43743.0,116099.0,58126.0,39.0,791979.0,1073583.0,0.0,4544.0,4544.0,3031.0,49439.0
2013,Kansas,2.0,32.0,11.7,4.2,19.5,2013,140505.6,Millions of chained 2012 dollars,KS,2013,132978.6,2893510.0,45958.0,KS,KS,541.0,24.43,22.0,5.8,60901.0,10678.0,974.0,139.0,321465.0,1.099,292468.0,74902.0,271707.0,46846.0,160571.0,99670.0,54.0,829185.0,1102551.0,0.0,5825.0,5825.0,2675.0,90002.0
2014,Kansas,2.2,30.7,11.7,4.4,20.5,2014,143425.4,Millions of chained 2012 dollars,KS,2014,135975.8,2900896.0,46874.0,KS,KS,1474.0,22.208000000000002,66.0,5.8,71925.0,12648.0,974.0,154.0,317646.0,1.109,286480.0,89512.0,287175.0,49513.0,184720.0,112795.0,56.0,880528.0,1134920.0,0.0,5916.0,5916.0,2561.0,103135.0
2015,Kansas,2.5,26.4,12.2,3.7,19.0,2015,146173.1,Millions of chained 2012 dollars,KS,2015,137868.3,2909502.0,47386.0,KS,KS,4387.0,22.026,199.0,5.7170000000000005,69193.0,12209.0,974.0,177.0,318548.0,1.121,284184.0,90254.0,259935.0,45467.0,180083.0,110891.0,87.0,853208.0,1104548.0,0.0,4487.0,4487.0,2671.0,102495.0
2016,Kansas,2.4,24.8,12.8,3.4,18.7,2016,149927.9,Millions of chained 2012 dollars,KS,2016,138314.6,2911263.0,47510.0,KS,KS,617.0,23.051,27.0,5.722,68677.0,12163.0,974.0,282.0,281646.0,1.151,244795.0,86245.0,217081.0,37938.0,206745.0,138068.0,125.0,792335.0,1090817.0,0.0,3997.0,3997.0,2418.0,130272.0
2000,Kentucky,3.2,88.5,16.2,4.6,31.2,2000,152118.1,Millions of chained 2012 dollars,KY,2000,100796.5,4049021.0,24894.0,KY,KY,3270194.0,25.023000000000003,130688.0,5.8,0.0,0.0,597.0,23713.0,87130.0,1.068,81545.0,0.0,20097.0,3465.0,36052.0,36052.0,4.0,3413474.0,1765988.0,0.0,11491.0,11491.0,247.0,0.0
2001,Kentucky,3.0,89.5,17.2,3.9,31.7,2001,151920.8,Millions of chained 2012 dollars,KY,2001,104181.5,4068132.0,25609.0,KY,KY,3326940.0,24.773000000000003,134297.0,5.8,0.0,0.0,672.0,39839.0,86962.0,1.064,81723.0,0.0,17220.0,2969.0,53167.0,53167.0,4.0,3484288.0,1796300.0,0.0,12433.0,12433.0,219.0,0.0
2002,Kentucky,3.1,89.1,17.0,4.0,32.8,2002,155676.4,Millions of chained 2012 dollars,KY,2002,106570.5,4089875.0,26057.0,KY,KY,3098985.0,24.914,124388.0,5.8,0.0,0.0,733.0,40944.0,94052.0,1.0659999999999998,88259.0,0.0,15782.0,2721.0,62831.0,62831.0,4.0,3271650.0,1947606.0,0.0,20832.0,20832.0,318.0,0.0
2003,Kentucky,3.0,87.2,16.2,4.3,31.4,2003,159179.8,Millions of chained 2012 dollars,KY,2003,109617.3,4117170.0,26624.0,KY,KY,2809836.0,24.838,113126.0,5.8,0.0,0.0,971.0,39974.0,92879.0,1.06,87608.0,0.0,14720.0,2538.0,65580.0,65580.0,4.0,2983015.0,1881793.0,0.0,24316.0,24316.0,315.0,0.0
2004,Kentucky,3.1,89.0,17.2,4.0,34.1,2004,163436.2,Millions of chained 2012 dollars,KY,2004,116046.7,4146101.0,27989.0,KY,KY,2845496.0,24.799,114743.0,5.8,3490.0,587.0,1071.0,37863.0,100915.0,1.071,94259.0,0.0,14778.0,2548.0,68861.0,65370.0,30.0,3030049.0,1955739.0,0.0,25120.0,25120.0,1286.0,0.0
2005,Kentucky,3.0,92.2,17.3,3.9,33.2,2005,168805.2,Millions of chained 2012 dollars,KY,2005,121757.8,4182742.0,29110.0,KY,KY,2973897.0,24.776,120029.0,5.8,3368.0,570.0,1238.0,29609.0,97907.0,1.055,92795.0,0.0,14703.0,2535.0,66834.0,63466.0,35.0,3153341.0,1982416.0,0.0,31413.0,31413.0,1172.0,0.0
2006,Kentucky,2.5,95.1,18.1,3.3,33.1,2006,173336.6,Millions of chained 2012 dollars,KY,2006,128867.4,4219239.0,30543.0,KY,KY,3000879.0,24.775,121127.0,5.8,4167.0,709.0,1391.0,25707.0,101101.0,1.061,95320.0,0.0,13572.0,2340.0,61705.0,57538.0,39.0,3177257.0,1972905.0,0.0,28680.0,28680.0,1721.0,0.0
2007,Kentucky,2.5,94.3,17.8,3.5,34.4,2007,171869.3,Millions of chained 2012 dollars,KY,2007,134575.8,4256672.0,31615.0,KY,KY,2872880.0,24.866999999999997,115530.0,5.8,4953.0,848.0,1608.0,16492.0,100611.0,1.054,95437.0,0.0,15463.0,2666.0,55551.0,50599.0,41.0,3044505.0,2042882.0,0.0,30559.0,30559.0,1898.0,0.0
2008,Kentucky,2.6,95.0,17.3,3.7,31.5,2008,172150.8,Millions of chained 2012 dollars,KY,2008,140523.4,4289878.0,32757.0,KY,KY,2927900.0,24.241999999999997,120778.0,5.8,4818.0,830.0,1855.0,18895.0,121259.0,1.063,114116.0,0.0,15341.0,2645.0,57940.0,53122.0,48.0,3122441.0,2007247.0,0.0,30231.0,30231.0,2093.0,0.0
2009,Kentucky,2.3,87.0,14.8,3.6,31.9,2009,165014.9,Millions of chained 2012 dollars,KY,2009,138823.4,4317074.0,32157.0,KY,KY,2616139.0,24.268,107802.0,5.8,4861.0,842.0,2258.0,32380.0,121695.0,1.074,113300.0,0.0,15132.0,2609.0,69913.0,65053.0,60.0,2822879.0,1929419.0,0.0,28630.0,28630.0,1725.0,0.0
2010,Kentucky,2.4,94.1,16.6,3.7,32.4,2010,172044.7,Millions of chained 2012 dollars,KY,2010,144103.3,4348200.0,33141.0,KY,KY,2556093.0,24.281999999999996,105267.0,5.8,5091.0,884.0,2544.0,25173.0,145590.0,1.0759999999999998,135330.0,0.0,14610.0,2519.0,69567.0,64476.0,67.0,2785861.0,1992796.0,0.0,35295.0,35295.0,1399.0,0.0
2011,Kentucky,2.3,93.5,16.9,3.5,31.8,2011,174136.0,Millions of chained 2012 dollars,KY,2011,151299.9,4369488.0,34626.0,KY,KY,2623804.0,24.078000000000003,108971.0,5.8,4971.0,866.0,2700.0,28850.0,134060.0,1.079,124243.0,0.0,13491.0,2326.0,73437.0,68466.0,86.0,2844792.0,1919082.0,0.0,35841.0,35841.0,988.0,0.0
